baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20190327,1530,LGT,20190327,1600,0,89,91
20190327,1530,LGT,20190327,1700,0,89,91
20190327,1530,LGT,20190327,1800,0,89,91
20190327,1530,PTY,20190327,1600,0,89,91
20190327,1530,PTY,20190327,1700,0,89,91
20190327,1530,PTY,20190327,1800,0,89,91
20190327,1530,RN1,20190327,1600,0,89,91
20190327,1530,RN1,20190327,1700,0,89,91
20190327,1530,RN1,20190327,1800,0,89,91
20190327,1530,SKY,20190327,1600,1,89,91
20190327,1530,SKY,20190327,1700,1,89,91
20190327,1530,SKY,20190327,1800,1,89,91
20190327,1530,T1H,20190327,1600,22,89,91
20190327,1530,T1H,20190327,1700,21,89,91
20190327,1530,T1H,20190327,1800,20,89,91
20190327,1530,REH,20190327,1600,20,89,91
20190327,1530,REH,20190327,1700,20,89,91
20190327,1530,REH,20190327,1800,20,89,91
20190327,1530,UUU,20190327,1600,3.3,89,91
20190327,1530,UUU,20190327,1700,4,89,91
20190327,1530,UUU,20190327,1800,4.8,89,91
20190327,1530,VVV,20190327,1600,3,89,91
20190327,1530,VVV,20190327,1700,2.8,89,91
20190327,1530,VVV,20190327,1800,2.6,89,91
20190327,1530,VEC,20190327,1600,228,89,91
20190327,1530,VEC,20190327,1700,235,89,91
20190327,1530,VEC,20190327,1800,242,89,91
20190327,1530,WSD,20190327,1600,4.5,89,91
20190327,1530,WSD,20190327,1700,4.9,89,91
20190327,1530,WSD,20190327,1800,5.5,89,91
