baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20190328,1130,LGT,20190328,1200,0,89,91
20190328,1130,LGT,20190328,1300,0,89,91
20190328,1130,LGT,20190328,1400,0,89,91
20190328,1130,LGT,20190328,1500,0,89,91
20190328,1130,PTY,20190328,1200,0,89,91
20190328,1130,PTY,20190328,1300,0,89,91
20190328,1130,PTY,20190328,1400,0,89,91
20190328,1130,PTY,20190328,1500,0,89,91
20190328,1130,RN1,20190328,1200,0,89,91
20190328,1130,RN1,20190328,1300,0,89,91
20190328,1130,RN1,20190328,1400,0,89,91
20190328,1130,RN1,20190328,1500,0,89,91
20190328,1130,SKY,20190328,1200,1,89,91
20190328,1130,SKY,20190328,1300,1,89,91
20190328,1130,SKY,20190328,1400,1,89,91
20190328,1130,SKY,20190328,1500,1,89,91
20190328,1130,T1H,20190328,1200,16,89,91
20190328,1130,T1H,20190328,1300,17,89,91
20190328,1130,T1H,20190328,1400,17,89,91
20190328,1130,T1H,20190328,1500,18,89,91
20190328,1130,REH,20190328,1200,40,89,91
20190328,1130,REH,20190328,1300,40,89,91
20190328,1130,REH,20190328,1400,35,89,91
20190328,1130,REH,20190328,1500,35,89,91
20190328,1130,UUU,20190328,1200,-0.7,89,91
20190328,1130,UUU,20190328,1300,-0.5,89,91
20190328,1130,UUU,20190328,1400,-0.2,89,91
20190328,1130,UUU,20190328,1500,0,89,91
20190328,1130,VVV,20190328,1200,1.3,89,91
20190328,1130,VVV,20190328,1300,1.4,89,91
20190328,1130,VVV,20190328,1400,1.4,89,91
20190328,1130,VVV,20190328,1500,1.5,89,91
20190328,1130,VEC,20190328,1200,148,89,91
20190328,1130,VEC,20190328,1300,157,89,91
20190328,1130,VEC,20190328,1400,168,89,91
20190328,1130,VEC,20190328,1500,176,89,91
20190328,1130,WSD,20190328,1200,1.5,89,91
20190328,1130,WSD,20190328,1300,1.5,89,91
20190328,1130,WSD,20190328,1400,1.4,89,91
20190328,1130,WSD,20190328,1500,1.5,89,91
