Postal,Beer,Wine,Clusters
AL,1.2,0.22,5
AK,1.31,0.54,6
AZ,1.19,0.38,1
AR,1.07,0.17,5
CA,1.05,0.55,3
CO,1.22,0.46,1
CT,0.89,0.59,3
DE,1.31,0.57,6
FL,1.26,1.0,2
GA,1.21,0.48,1
HI,1.08,0.25,5
ID,1.3,0.53,6
IL,1.05,0.92,2
IN,1.22,0.39,1
IA,1.09,0.25,5
KS,1.42,0.18,0
KY,1.18,0.14,5
LA,1.11,0.18,5
ME,1.5,0.28,8
MD,1.24,0.42,1
MA,0.97,0.37,3
MI,1.02,0.61,3
MN,1.1,0.31,5
MS,1.19,0.37,1
MO,1.41,0.11,0
MT,1.3,0.3,0
NE,1.66,0.45,4
NV,1.46,0.2,8
NH,1.57,0.58,4
NJ,1.72,0.84,4
NM,0.92,0.57,3
NY,1.37,0.32,0
NC,0.91,0.46,3
ND,1.1,0.34,1
OH,1.63,0.25,8
OK,1.28,0.26,0
OR,1.18,0.18,5
PA,1.28,0.49,6
RI,1.35,0.23,0
SC,1.1,0.53,1
SD,1.36,0.24,0
TN,1.53,0.22,8
TX,1.05,0.21,5
UT,1.42,0.28,0
VT,0.7,0.17,7
VA,1.36,0.63,6
WA,1.11,0.43,1
WV,1.09,0.51,1
WI,1.24,0.1,5
WY,1.49,0.31,8
WY,1.45,0.22,8
